model_root,pair,model,domain,n_datasets,n_improve_acc,n_decline_acc,n_tie_acc,improve_rate_acc,mean_delta_acc,median_delta_acc,n_improve_f1,n_decline_f1,n_tie_f1,improve_rate_f1,mean_delta_f1,median_delta_f1
qwen-7b_newlayout,execution,J,finance,2,1,1,0,0.5,0.0031322474218229424,0.0031322474218229424,0,0,2,0.0,0.002564690798461833,0.002564690798461833
qwen-7b_newlayout,execution,J,mental,1,0,1,0,0.0,-0.047248558918952965,-0.047248558918952965,0,1,0,0.0,-0.05054284429342004,-0.05054284429342004
qwen-7b_newlayout,execution,J,movie,3,0,0,3,0.0,0.0016333333333333384,0.0019000000000000128,0,0,3,0.0,0.0009761768490776923,-2.3228053152135608e-05
qwen-7b_newlayout,execution,P,finance,2,1,1,0,0.5,-0.004306840205006546,-0.004306840205006546,0,1,1,0.0,-0.004283829141986384,-0.004283829141986384
qwen-7b_newlayout,execution,P,mental,1,0,1,0,0.0,-0.03184552871137425,-0.03184552871137425,0,1,0,0.0,-0.032812970378024775,-0.032812970378024775
qwen-7b_newlayout,execution,P,movie,3,0,0,3,0.0,-0.0005666666666666412,-0.00039999999999995595,0,0,3,0.0,0.0008674021168267506,-0.00020902438903558362
qwen-7b_newlayout,information,N,finance,2,1,1,0,0.5,0.008743047458950381,0.008743047458950381,1,0,1,0.5,0.004188363134467854,0.004188363134467854
qwen-7b_newlayout,information,N,mental,1,0,1,0,0.0,-0.06910889217878857,-0.06910889217878857,0,1,0,0.0,-0.07480250428703916,-0.07480250428703916
qwen-7b_newlayout,information,N,movie,3,1,0,2,0.3333333333333333,0.00296666666666671,0.0008000000000000229,1,0,2,0.3333333333333333,0.003698277810180728,0.0036216962755895032
qwen-7b_newlayout,information,S,finance,2,1,1,0,0.5,-0.0035656859851220246,-0.0035656859851220246,1,1,0,0.5,0.0004157448396273633,0.0004157448396273633
qwen-7b_newlayout,information,S,mental,1,0,1,0,0.0,-0.01672598985730933,-0.01672598985730933,0,1,0,0.0,-0.01716604000813038,-0.01716604000813038
qwen-7b_newlayout,information,S,movie,3,0,1,2,0.0,-0.004066666666666663,-0.0008000000000000229,0,1,2,0.0,-0.002646792043372148,-0.001285076111176009
