model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
llama-3b_newlayout,execution,sst2,movie,avg,J,0.8071,0.829650405547375,0.7986,0.8050620992900875,-0.008500000000000063,-0.024588306257287473,decline,decline,10000.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,fiqasa,finance,avg,P,0.5140664961636828,0.4598915552665369,0.5895140664961638,0.5069568398439803,0.07544757033248095,0.04706528457744341,improve,improve,1173.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,imdb,movie,avg,P,0.9265,0.927965996497824,0.9264,0.9303555337751632,-9.999999999998899e-05,0.00238953727733926,tie,tie,10000.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,imdb_sklearn,movie,avg,P,0.9336,0.9335448794648232,0.93715,0.939879279738404,0.003550000000000053,0.006334400273580787,tie,improve,10000.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,mental,mental,avg,P,0.5971272876177277,0.5481880514291009,0.733439380098907,0.7734170753158666,0.13631209248117926,0.2252290238867657,improve,improve,31747.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,news,finance,avg,P,0.600033526108457,0.6044963210398845,0.5630709915346577,0.566368292112998,-0.03696253457379928,-0.03812802892688649,decline,decline,11931.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,execution,sst2,movie,avg,P,0.8071,0.829650405547375,0.77965,0.8324579401054599,-0.027450000000000085,0.002807534558084912,decline,tie,10000.0,llama-3b_newlayout/execution/summaries/sentiment.csv
llama-3b_newlayout,information,fiqasa,finance,avg,N,0.5140664961636828,0.4598915552665369,0.5515771526001705,0.4854572696297754,0.037510656436487655,0.025565714363238512,improve,improve,1173.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,imdb,movie,avg,N,0.9265,0.927965996497824,0.91325,0.9248520077690676,-0.013249999999999984,-0.003113988728756345,decline,tie,10000.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,imdb_sklearn,movie,avg,N,0.9336,0.9335448794648232,0.9342,0.93423310689792,0.0006000000000000449,0.0006882274330968219,tie,tie,10000.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,mental,mental,avg,N,0.5971272876177277,0.5481880514291009,0.56317132327464,0.4887805819687594,-0.033955964343087675,-0.05940746946034148,decline,decline,31747.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,news,finance,avg,N,0.600033526108457,0.6044963210398845,0.4857514039057916,0.5168150474843185,-0.11428212220266537,-0.08768127355556599,decline,decline,11931.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,sst2,movie,avg,N,0.8071,0.829650405547375,0.7779,0.8322306373735404,-0.029200000000000004,0.0025802318261654023,decline,tie,10000.0,llama-3b_newlayout/information/summaries/sentiment.csv
llama-3b_newlayout,information,fiqasa,finance,avg,S,0.5140664961636828,0.4598915552665369,0.6035805626598465,0.5004206480257969,0.08951406649616367,0.04052909275925998,improve,improve,1173.0,llama-3b_newlayout/information/summaries/sentiment.csv
