model_root,pair,dataset,domain,run,model_a,model_b,acc_a,acc_b,f1_a,f1_b,adv_acc_a_minus_b,adv_f1_a_minus_b,winner_acc,winner_f1
qwen-7b_newlayout,decision,news,finance,avg,F,T,0.752828765401056,0.795323107870254,0.7317573548274301,0.7463662000093098,-0.04249434246919792,-0.01460884518187966,T,T
qwen-7b_newlayout,decision,sst2,movie,avg,F,T,0.8951,0.8399,0.9116279698117116,0.8701925670674756,0.05520000000000003,0.04143540274423596,F,F
qwen-7b_newlayout,energy,fiqasa,finance,avg,E,I,0.7263427109974424,0.6692242114236999,0.6545848822241199,0.620902591396088,0.05711849957374249,0.03368229082803187,E,E
qwen-7b_newlayout,energy,imdb,movie,avg,E,I,0.9457,0.9424,0.9469245210115458,0.9436848766803608,0.0032999999999999696,0.0032396443311849543,tie,tie
qwen-7b_newlayout,energy,imdb_sklearn,movie,avg,E,I,0.9493,0.9477,0.9520606338287474,0.9503545651347288,0.0016000000000000458,0.0017060686940185699,tie,tie
qwen-7b_newlayout,energy,mental,mental,avg,E,I,0.8059659180394998,0.7896809147321007,0.8024795677945966,0.7848187247937061,0.016285003307399126,0.017660843000890547,E,E
qwen-7b_newlayout,energy,news,finance,avg,E,I,0.7761294107786438,0.8003520241387981,0.7461987546451421,0.7614988531408282,-0.0242226133601543,-0.015300098495686143,I,I
qwen-7b_newlayout,energy,sst2,movie,avg,E,I,0.8803,0.8599,0.9020177950959104,0.8838172897903334,0.020399999999999974,0.01820050530557704,E,E
qwen-7b_newlayout,execution,fiqasa,finance,avg,J,P,0.7092924126172208,0.6768968456947997,0.639969773531471,0.6245451012289842,0.03239556692242107,0.015424672302486786,J,J
qwen-7b_newlayout,execution,imdb,movie,avg,J,P,0.9444,0.9441,0.945562614933653,0.9457417237617818,0.00029999999999996696,-0.00017910882812877116,tie,tie
qwen-7b_newlayout,execution,imdb_sklearn,movie,avg,J,P,0.9484,0.9481,0.9510129326897868,0.9511420078532524,0.00029999999999996696,-0.00012907516346560843,tie,tie
qwen-7b_newlayout,execution,mental,mental,avg,J,P,0.7918858474816518,0.8072888776892305,0.7869485113524266,0.8046783852678219,-0.015403030207578716,-0.017729873915395267,P,P
qwen-7b_newlayout,execution,news,finance,avg,J,P,0.7788953147263431,0.7964127063951052,0.751326658772408,0.7530542911939984,-0.017517391668762095,-0.0017276324215903527,P,tie
qwen-7b_newlayout,execution,sst2,movie,avg,J,P,0.8744,0.8684,0.8941314687129662,0.893496960524619,0.006000000000000005,0.0006345081883472048,J,tie
qwen-7b_newlayout,information,fiqasa,finance,avg,N,S,0.7186700767263428,0.680306905370844,0.6487523762147565,0.6289724959753324,0.038363171355498715,0.019779880239424008,N,N
qwen-7b_newlayout,information,imdb,movie,avg,N,S,0.9443,0.9437,0.9462748118502492,0.9446656720396414,0.0006000000000000449,0.0016091398106078403,tie,tie
qwen-7b_newlayout,information,imdb_sklearn,movie,avg,N,S,0.9473,0.9476,0.9512947371478268,0.9497779256664683,-0.00029999999999996696,0.0015168114813584044,tie,tie
qwen-7b_newlayout,information,mental,mental,avg,N,S,0.7700255142218162,0.8224084165432954,0.7626888513588075,0.8203253156377163,-0.05238290232147924,-0.05763646427890878,S,S
qwen-7b_newlayout,information,news,finance,avg,N,S,0.780739250691476,0.7944849551588299,0.7457914007611346,0.7580260444108776,-0.013745704467353903,-0.012234643649743027,S,S
qwen-7b_newlayout,information,sst2,movie,avg,N,S,0.8796,0.8588,0.9013037702216392,0.8853945119529468,0.02080000000000004,0.015909258268692383,N,N
