pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
execution,imdb_sklearn,run-002,J,stuart_maxwell,18.99292786421501,2,7.511697955739692e-05,0.0308163332213738,0.0029,0.0008038205671864,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,imdb_sklearn,run-001,P,stuart_maxwell,115.67496262421952,2,7.612039249868401e-26,0.0760509574641304,0.0158999999999999,0.0027306496574104,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,imdb_sklearn,run-002,P,stuart_maxwell,129.94402985074626,2,6.067537089743221e-29,0.0806052200079952,0.017,0.0033916134156977,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,sst2,run-001,J,stuart_maxwell,602.1453181294803,2,1.7611871830552177e-131,0.1735144544597769,0.0596,0.0082303329684645,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,sst2,run-002,J,stuart_maxwell,528.8309258568307,2,1.4649524225988139e-115,0.1626085677104424,0.052,0.0072452212966332,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,sst2,run-001,P,stuart_maxwell,806.5049637819293,2,7.407510929935982e-176,0.2008114742466089,0.0684,0.0109985496961916,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
execution,sst2,run-002,P,stuart_maxwell,874.3590355331621,2,1.3656764891105959e-190,0.2090883826917653,0.0737999999999999,0.0124681841406735,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,execution
information,imdb,run-001,N,stuart_maxwell,262.7035922684172,2,9.008235905031808e-58,0.1146088112381454,0.0226999999999999,0.0066697154971204,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb,run-002,N,stuart_maxwell,284.7085344881172,2,1.5008153417098742e-62,0.1193123075143795,0.0244,0.0073522210877981,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb,run-001,S,stuart_maxwell,284.9649019838014,2,1.320254833609457e-62,0.1193660131661859,0.0298,0.0011499378838283,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,imdb,run-002,S,stuart_maxwell,264.8165242891746,2,3.1320046069836986e-58,0.1150687890544552,0.0280999999999999,0.0011454117874391,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,information
information,mental,run-001,N,mcnemar_exact,1446.0,1,0.0,0.2096790006674712,0.044960254372019,0.0034822424801792,31747,31450,297,normal|depression,llama-3b_newlayout,information
information,mental,run-002,N,mcnemar_exact,1334.0,1,0.0,0.2010283323365944,0.0414056288758149,0.0029121024240578,31747,31445,302,normal|depression,llama-3b_newlayout,information
information,mental,run-001,S,mcnemar_exact,894.0,1,2.69718439421178e-75,0.1002985146422113,0.0169049888782968,0.0004032992657638,31747,31470,277,normal|depression,llama-3b_newlayout,information
