pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
energy,mental,run-001,E,normal|depression|neutral,31747.0,,,,,419.0,0.01319809745802753,0.6219170315305383,0.7434595947883053,0.631191475801006,0.5902935417839823,0.7486927732646818,0.6219170315305383,0.5868028081200516,31747,0.6219170315305383,0.7434595947883053,0.631191475801006,0.5902935417839823,0.7486927732646818,0.6219170315305383,0.5868028081200516,31747,5640.0,0.17765458153526317,25688.0,0.8091473210067093,,,,
energy,mental,run-001,I,normal|depression|neutral,31747.0,,,,,285.0,0.008977226194601064,0.5621948530569818,0.720845483104085,0.5737482087811357,0.4933452080970856,0.7265801524768755,0.5621948530569818,0.48777957385058807,31747,0.5621948530569818,0.720845483104085,0.5737482087811357,0.4933452080970856,0.7265801524768755,0.5621948530569818,0.48777957385058807,31747,3272.0,0.10306485652187608,28190.0,0.8879579172835228,,,,
energy,mental,run-002,BASE,normal|depression|neutral,31747.0,,,,,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
energy,mental,run-002,E,normal|depression|neutral,31747.0,,,,,442.0,0.013922575361451476,0.6284058336220745,0.7499630452114534,0.6375162478230376,0.5992329494569877,0.7552564210475397,0.6284058336220745,0.5958970967220557,31747,0.6284058336220745,0.7499630452114534,0.6375162478230376,0.5992329494569877,0.7552564210475397,0.6284058336220745,0.5958970967220557,31747,5797.0,0.18259993070211358,25508.0,0.803477493936435,,,,
energy,mental,run-002,I,normal|depression|neutral,31747.0,,,,,283.0,0.00891422811604246,0.5682741676378871,0.723340717731549,0.5796323628495611,0.5033971022601403,0.7290404725039897,0.5682741676378871,0.4980434053313165,31747,0.5682741676378871,0.723340717731549,0.5796323628495611,0.5033971022601403,0.7290404725039897,0.5682741676378871,0.4980434053313165,31747,3490.0,0.10993164708476391,27974.0,0.8811541247991936,,,,
energy,mental,avg,BASE,normal|depression|neutral,31747.0,,,,,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
energy,mental,avg,E,normal|depression|neutral,31747.0,,,,,430.5,0.013560336409739504,0.6251614325763064,0.7467113199998794,0.6343538618120218,0.594763245620485,0.7519745971561107,0.6251614325763064,0.5913499524210537,31747,0.6251614325763064,0.7467113199998794,0.6343538618120218,0.594763245620485,0.7519745971561107,0.6251614325763064,0.5913499524210537,31747,5718.5,0.18012725611868838,25598.0,0.8063124074715721,,,,
energy,mental,avg,I,normal|depression|neutral,31747.0,,,,,284.0,0.008945727155321763,0.5652345103474344,0.722093100417817,0.5766902858153484,0.49837115517861297,0.7278103124904326,0.5652345103474344,0.4929114895909523,31747,0.5652345103474344,0.722093100417817,0.5766902858153484,0.49837115517861297,0.7278103124904326,0.5652345103474344,0.4929114895909523,31747,3381.0,0.10649825180332,28082.0,0.8845560210413582,,,,
energy,news,run-001,BASE,neutral|bearish|bullish,11931.0,,,,,3865.0,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
energy,news,run-001,E,neutral|bearish|bullish,11931.0,,,,,2418.0,0.2026653256223284,0.5001257229067136,0.582474723628006,0.6897415591500887,0.5205860480192303,0.7333480004022049,0.5001257229067136,0.4760207455723217,11931,0.5003771687201408,0.5825127407768226,0.6898706913814937,0.5207403743912999,0.7334220272567273,0.5003771687201408,0.4763212493252278,11931,,,,,3083.0,0.25840248093202584,6430.0,0.5389321934456458
