pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
execution,sst2,run-001,P,stuart_maxwell,34.0699951052374,2,3.997556067759954e-08,0.0412734752021424,0.0046999999999999,8.198037897360548e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
execution,sst2,run-002,P,stuart_maxwell,32.87058823529412,2,7.281862200755944e-08,0.0405404663486337,0.0045999999999999,7.881816214832084e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,execution
information,imdb,run-001,N,stuart_maxwell,20.12873563218392,2,4.256970039476739e-05,0.0317243878051129,0.0026,6.323468515633272e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb,run-002,N,stuart_maxwell,20.12873563218392,2,4.256970039476739e-05,0.0317243878051129,0.0026,6.323468515633272e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb,run-001,S,stuart_maxwell,39.2748201438849,2,2.9619734877256966e-09,0.044314117470556,0.0045999999999999,8.205317789643945e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,imdb,run-002,S,stuart_maxwell,39.2748201438849,2,2.9619734877256966e-09,0.044314117470556,0.0045999999999999,8.205317789643945e-05,10000,10000,0,positive|negative|neutral,qwen-7b_newlayout,information
information,mental,run-001,N,mcnemar_exact,2784.0,1,0.0,0.2782451717378643,0.0824553655920762,0.0054540199383355,31747,31702,45,normal|depression,qwen-7b_newlayout,information
information,mental,run-002,N,mcnemar_exact,2784.0,1,0.0,0.2782495602899207,0.0824579666256584,0.0054545240066679,31747,31701,46,normal|depression,qwen-7b_newlayout,information
information,mental,run-001,S,mcnemar_exact,1667.0,1,1.7603424794678207e-69,0.0975847225198878,0.0223899450514747,0.0003865740687612,31747,31666,81,normal|depression,qwen-7b_newlayout,information
information,mental,run-002,S,mcnemar_exact,1668.0,1,3.0628868073142767e-69,0.0974040293239463,0.0223520126282557,0.0003851973145498,31747,31675,72,normal|depression,qwen-7b_newlayout,information
information,news,run-001,N,stuart_maxwell,3.982717989002357,2,0.1365097832859155,0.0129192218831467,0.0026820886765568,6.314451899920581e-06,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,information
information,news,run-002,N,stuart_maxwell,3.982717989002357,2,0.1365097832859155,0.0129192218831467,0.0026820886765568,6.314451899920581e-06,11931,11931,0,neutral|bearish|bullish,qwen-7b_newlayout,information
