model_family,personality,pair,dataset,positive_side_col,negative_side_col,base_positive_side,base_negative_side,base_shift,tuned_positive_side,tuned_negative_side,tuned_shift,delta_shift,shift_dir
Q3,F,decision,sst2,ratio_positive,ratio_negative,0.3178,0.6813,-0.3635,0.3747,0.6251,-0.2504,0.1131,1
Q3,F,decision,fiqasa,ratio_positive,ratio_negative,0.474850809889,0.398124467178,0.076726342711,0.545609548167,0.381074168798,0.164535379369,0.0878090366581,1
Q3,F,decision,news,ratio_bullish,ratio_bearish,0.26116838488,0.16285307183,0.09831531305,0.334506747129,0.129578409186,0.204928337943,0.106613024893,1
Q3,F,decision,mental,ratio_normal,ratio_depression,0.507953507418,0.492046492582,0.015907014836,0.45103474344,0.54896525656,-0.0979305131193,-0.113837527955,-1
Q3,T,decision,imdb,ratio_positive,ratio_negative,0.4691,0.5309,-0.0618,0.4565,0.5435,-0.087,-0.0252,-1
Q3,T,decision,imdb_sklearn,ratio_positive,ratio_negative,0.4417,0.5582,-0.1165,0.4303,0.5689,-0.1386,-0.0221,-1
Q3,T,decision,sst2,ratio_positive,ratio_negative,0.3178,0.6813,-0.3635,0.2642,0.7339,-0.4697,-0.1062,-1
Q3,T,decision,fiqasa,ratio_positive,ratio_negative,0.474850809889,0.398124467178,0.076726342711,0.410059676044,0.381926683717,0.0281329923274,-0.0485933503836,-1
Q3,T,decision,news,ratio_bullish,ratio_bearish,0.26116838488,0.16285307183,0.09831531305,0.21934456458,0.166373313218,0.052971251362,-0.045344061688,-1
Q3,T,decision,mental,ratio_normal,ratio_depression,0.507953507418,0.492046492582,0.015907014836,0.544807383375,0.455192616625,0.0896147667496,0.0737077519136,1
Q3,J,execution,imdb,ratio_positive,ratio_negative,0.4691,0.5309,-0.0618,0.4701,0.5299,-0.0598,0.002,1
Q3,J,execution,imdb_sklearn,ratio_positive,ratio_negative,0.4417,0.5582,-0.1165,0.4558,0.5441,-0.0883,0.0282,1
Q3,J,execution,sst2,ratio_positive,ratio_negative,0.3178,0.6813,-0.3635,0.3306,0.6692,-0.3386,0.0249,1
Q3,J,execution,fiqasa,ratio_positive,ratio_negative,0.474850809889,0.398124467178,0.076726342711,0.537084398977,0.393009377664,0.144075021313,0.0673486786019,1
Q3,J,execution,news,ratio_bullish,ratio_bearish,0.26116838488,0.16285307183,0.09831531305,0.254546978459,0.158578493001,0.0959684854581,-0.00234682759199,-1
Q3,J,execution,mental,ratio_normal,ratio_depression,0.507953507418,0.492046492582,0.015907014836,0.446278388509,0.553658613412,-0.107380224903,-0.123287239739,-1
Q3,P,execution,imdb,ratio_positive,ratio_negative,0.4691,0.5309,-0.0618,0.4706,0.5294,-0.0588,0.003,1
Q3,P,execution,imdb_sklearn,ratio_positive,ratio_negative,0.4417,0.5582,-0.1165,0.4548,0.5451,-0.0903,0.0262,1
Q3,P,execution,sst2,ratio_positive,ratio_negative,0.3178,0.6813,-0.3635,0.3038,0.6944,-0.3906,-0.0271,-1
Q3,P,execution,fiqasa,ratio_positive,ratio_negative,0.474850809889,0.398124467178,0.076726342711,0.438192668372,0.391304347826,0.0468883205456,-0.0298380221654,-1
Q3,P,execution,news,ratio_bullish,ratio_bearish,0.26116838488,0.16285307183,0.09831531305,0.204844522672,0.123878970748,0.0809655519236,-0.0173497611265,-1
Q3,P,execution,mental,ratio_normal,ratio_depression,0.507953507418,0.492046492582,0.015907014836,0.45323967619,0.546697325732,-0.0934576495417,-0.109364664378,-1
Q7,E,energy,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4908,0.5066,-0.0158,0.0107,1
Q7,E,energy,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.493,0.5012,-0.0082,0.0227,1
Q7,E,energy,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4689,0.4839,-0.015,0.0252,1
Q7,E,energy,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.447570332481,0.274509803922,0.173060528559,0.0247229326513,1
Q7,E,energy,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.318498030341,0.117257564328,0.201240466013,0.00947112563909,1
Q7,E,energy,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.341197593473,0.657227454563,-0.316029861089,-0.0844489243078,-1
Q7,I,energy,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4787,0.5185,-0.0398,-0.0133,-1
Q7,I,energy,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.484,0.5104,-0.0264,0.0045,1
Q7,I,energy,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4405,0.5061,-0.0656,-0.0254,-1
Q7,I,energy,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.382779198636,0.264279624893,0.118499573743,-0.0298380221654,-1
Q7,I,energy,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.274914089347,0.113402061856,0.161512027491,-0.0302573128824,-1
Q7,I,energy,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.32125870161,0.676189876209,-0.354931174599,-0.123350237818,-1
Q7,S,information,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4816,0.5163,-0.0347,-0.0082,-1
Q7,S,information,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.4853,0.5101,-0.0248,0.0061,1
Q7,S,information,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4401,0.5007,-0.0606,-0.0204,-1
Q7,S,information,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.39641943734,0.260017050298,0.136402387042,-0.0119352088662,-1
Q7,S,information,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.289162685441,0.114491660381,0.174671025061,-0.0170983153131,-1
Q7,S,information,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.360884493023,0.637320061738,-0.276435568715,-0.0448546319337,-1
Q7,N,information,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4867,0.5091,-0.0224,0.0041,1
Q7,N,information,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.4912,0.5004,-0.0092,0.0217,1
Q7,N,information,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4671,0.4857,-0.0186,0.0216,1
Q7,N,information,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.437340153453,0.277067348679,0.160272804774,0.0119352088662,1
Q7,N,information,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.306763892381,0.111558125891,0.195205766491,0.00343642611684,1
Q7,N,information,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.299902352978,0.697892714272,-0.397990361294,-0.166409424513,-1
Q7,F,decision,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4937,0.5021,-0.0084,0.0181,1
Q7,F,decision,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.4912,0.5037,-0.0125,0.0184,1
Q7,F,decision,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4872,0.4771,0.0101,0.0503,1
Q7,F,decision,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.456095481671,0.270247229327,0.185848252344,0.0375106564365,1
Q7,F,decision,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.348336266868,0.117257564328,0.23107870254,0.0393093621658,1
Q7,F,decision,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.348379374429,0.651589126532,-0.303209752103,-0.0716288153211,-1
Q7,T,decision,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4723,0.5251,-0.0528,-0.0263,-1
Q7,T,decision,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.4694,0.5277,-0.0583,-0.0274,-1
Q7,T,decision,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4164,0.5142,-0.0978,-0.0576,-1
Q7,T,decision,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.371696504689,0.259164535379,0.112531969309,-0.0358056265985,-1
Q7,T,decision,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.286396781494,0.097141899254,0.18925488224,-0.00251445813427,-1
Q7,T,decision,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.418401738747,0.581535263174,-0.163133524428,0.0684474123539,1
Q7,J,execution,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4843,0.5132,-0.0289,-0.0024,-1
Q7,J,execution,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.487,0.5075,-0.0205,0.0104,1
Q7,J,execution,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.4558,0.5008,-0.045,-0.0048,-1
Q7,J,execution,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.429667519182,0.282182438193,0.147485080989,-0.000852514919011,-1
Q7,J,execution,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.314810158411,0.124549492918,0.190260665493,-0.00150867488056,-1
Q7,J,execution,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.325101584402,0.673480958831,-0.348379374429,-0.116798437648,-1
Q7,P,execution,imdb,ratio_positive,ratio_negative,0.4852,0.5117,-0.0265,0.4862,0.5103,-0.0241,0.0024,1
Q7,P,execution,imdb_sklearn,ratio_positive,ratio_negative,0.4833,0.5142,-0.0309,0.4899,0.5037,-0.0138,0.0171,1
Q7,P,execution,sst2,ratio_positive,ratio_negative,0.4548,0.495,-0.0402,0.454,0.4909,-0.0369,0.0033,1
Q7,P,execution,fiqasa,ratio_positive,ratio_negative,0.416027280477,0.267689684569,0.148337595908,0.401534526854,0.251491901108,0.150042625746,0.00170502983802,1
Q7,P,execution,news,ratio_bullish,ratio_bearish,0.304081803705,0.112312463331,0.191769340374,0.27809906965,0.102757522421,0.17534154723,-0.0164277931439,-1
Q7,P,execution,mental,ratio_normal,ratio_depression,0.38419378209,0.615774718871,-0.231580936781,0.34176457618,0.654455539106,-0.312690962926,-0.0811100261442,-1
