model,dataset,variant,label,proportion,macro_f1
Qwen2.5-3B,News,I,bearish,0.1318414215069985,0.7495360996063801
Qwen2.5-3B,News,S,bullish,0.2079456877042997,0.7584995293104501
Qwen2.5-3B,News,S,neutral,0.6380856592071076,0.7584995293104501
Qwen2.5-3B,News,S,bearish,0.1539686530885927,0.7584995293104501
Qwen2.5-3B,News,N,bullish,0.26259324448914595,0.7374131437165977
Qwen2.5-3B,News,N,neutral,0.6106780655435421,0.7374131437165977
Qwen2.5-3B,News,N,bearish,0.12672868996731204,0.7374131437165977
Qwen2.5-3B,News,F,bullish,0.334506747129327,0.7111373013888578
Qwen2.5-3B,News,F,neutral,0.5359148436845194,0.7111373013888578
Qwen2.5-3B,News,F,bearish,0.1295784091861537,0.7111373013888578
Qwen2.5-3B,News,T,bullish,0.21934456457966642,0.7562167187262708
Qwen2.5-3B,News,T,neutral,0.6142821222026654,0.7562167187262708
Qwen2.5-3B,News,T,bearish,0.16637331321766824,0.7562167187262708
Qwen2.5-3B,News,J,bullish,0.2545469784594753,0.7466888180904507
Qwen2.5-3B,News,J,neutral,0.5868745285390998,0.7466888180904507
Qwen2.5-3B,News,J,bearish,0.1585784930014248,0.7466888180904507
Qwen2.5-3B,News,P,bullish,0.20484452267203082,0.7472150315428562
Qwen2.5-3B,News,P,neutral,0.6712765065794989,0.7472150315428562
Qwen2.5-3B,News,P,bearish,0.12387897074847032,0.7472150315428562
Qwen2.5-3B,Mental,Base,normal,0.5079535074180238,0.899497582631908
Qwen2.5-3B,Mental,Base,depression,0.49204649258197625,0.899497582631908
Qwen2.5-3B,Mental,E,normal,0.45744077620967744,0.8764397233283066
Qwen2.5-3B,Mental,E,depression,0.5425592237903225,0.8764397233283066
Qwen2.5-3B,Mental,I,normal,0.4449204599149472,0.8662239948028801
Qwen2.5-3B,Mental,I,depression,0.5550795400850529,0.8662239948028801
Qwen2.5-3B,Mental,S,normal,0.4914474720428414,0.8949431117426208
Qwen2.5-3B,Mental,S,depression,0.5085525279571587,0.8949431117426208
Qwen2.5-3B,Mental,N,normal,0.4036668346774193,0.8368013402389158
