model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
llama-3b_newlayout,information,N,fiqasa,stuart_maxwell,2,2,1.0,8.36590705936107e-15,1.7137273705939242e-11,3.4266181504819126e-11,0.1547813297060964,0.05498721227621482,0.0033870353751001073
llama-3b_newlayout,information,N,imdb,stuart_maxwell,2,2,1.0,1.5008153417098742e-62,4.504192993282989e-58,9.008235905031807e-58,0.11696055937626249,0.023549999999999988,0.0070109682924593165
llama-3b_newlayout,information,N,imdb_sklearn,stuart_maxwell,2,2,1.0,6.274289639408248e-28,9.777186041075152e-22,1.9554365807860666e-21,0.0740981127906491,0.01489999999999999,0.0002104487157238865
llama-3b_newlayout,information,N,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.2053536665020328,0.043182941623916976,0.003197172452118557
llama-3b_newlayout,information,N,news,stuart_maxwell,2,2,1.0,0.0,0.0,0.0,0.268624439958195,0.15166373313217668,0.017776453294048103
llama-3b_newlayout,information,N,sst2,stuart_maxwell,2,2,1.0,6.08011987954865e-187,5.483561264912826e-185,1.0906321331030165e-184,0.2064412009176265,0.07564999999999998,0.012756151418431519
llama-3b_newlayout,information,S,fiqasa,stuart_maxwell,2,2,1.0,6.664590885927896e-65,1.4142623344864329e-64,2.162065580380076e-64,0.354224552102958,0.242540494458653,0.07965974470195689
llama-3b_newlayout,information,S,imdb,stuart_maxwell,2,2,1.0,1.320254833609457e-62,1.5660683162335297e-58,3.1320046069836982e-58,0.11721740111032061,0.028950000000000004,0.001147674835633759
llama-3b_newlayout,information,S,imdb_sklearn,stuart_maxwell,2,2,1.0,3.294985785336889e-74,1.948521980124531e-68,3.897040665263276e-68,0.12733100801562505,0.033600000000000005,0.000823687059388358
llama-3b_newlayout,information,S,mental,mcnemar_exact,2,2,1.0,2.69718439421178e-75,6.299499867187294e-71,1.2598730015935167e-70,0.09879181200644734,0.016651299574524006,0.0003916259358283476
llama-3b_newlayout,information,S,news,stuart_maxwell,2,2,1.0,2.742195838067932e-284,6.269852256661498e-277,1.2539704239103412e-276,0.23234330836334297,0.09391501131506161,0.008384956920622903
llama-3b_newlayout,information,S,sst2,stuart_maxwell,2,2,1.0,1.2805308271224468e-259,2.6229692624451914e-252,5.2459383968373e-252,0.24234797956114218,0.11780000000000003,0.023130022861946938
qwen-3b_newlayout,decision,F,fiqasa,stuart_maxwell,2,2,1.0,2.293819284244738e-19,2.293819284244738e-19,2.293819284244738e-19,0.19128251698305684,0.07075873827791988,0.007162812133710516
qwen-3b_newlayout,decision,F,imdb,stuart_maxwell,2,2,1.0,1.8048513878454602e-35,1.8048513878454602e-35,1.8048513878454602e-35,0.08944271909999157,0.015999999999999986,0.00018506111966010326
qwen-3b_newlayout,decision,F,imdb_sklearn,stuart_maxwell,2,2,1.0,4.762196308729068e-21,4.762196308729068e-21,4.762196308729068e-21,0.06840583160933822,0.010099999999999998,7.443620140060864e-05
qwen-3b_newlayout,decision,F,mental,mcnemar_exact,2,2,1.0,0.0,0.0,0.0,0.23857653693877504,0.05691876397769863,0.00234219620383826
qwen-3b_newlayout,decision,F,news,stuart_maxwell,2,2,1.0,2.642544552051358e-190,2.642544552051358e-190,2.642544552051358e-190,0.1912772699416969,0.07333836224960184,0.005154216571171304
qwen-3b_newlayout,decision,F,sst2,stuart_maxwell,2,2,1.0,2.581760344799719e-124,2.581760344799719e-124,2.581760344799719e-124,0.1686926436039242,0.05689999999999999,0.0027341792050141764
qwen-3b_newlayout,decision,T,fiqasa,stuart_maxwell,2,2,1.0,7.285162083938075e-22,7.285162083938075e-22,7.285162083938075e-22,0.20369776927697789,0.08098891730605284,0.008965345957913463
qwen-3b_newlayout,decision,T,imdb,stuart_maxwell,2,2,1.0,4.359610000063195e-28,4.359610000063195e-28,4.359610000063195e-28,0.0793725393319377,0.012599999999999972,0.00011516170900959487
qwen-3b_newlayout,decision,T,imdb_sklearn,stuart_maxwell,2,2,1.0,4.693969975249699e-25,4.693969975249699e-25,4.693969975249699e-25,0.07484540642140514,0.011399999999999948,0.00031392643580441064
