dataset,df,effect_cramers_v,effect_js,effect_tv,labels,model,model_root,n_dropped,n_total,n_used,p_value,pair,run,source_file,statistic,test
fiqasa,2,0.1537458967880776,0.00528046697274908,0.07502131287297527,positive|negative|neutral,I,llama-3b_newlayout,0,1173,1173,9.083557353938467e-13,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,55.454280627933315,stuart_maxwell
fiqasa,2,0.11605590858091686,0.002437178389157371,0.04944586530264279,positive|negative|neutral,I,llama-3b_newlayout,0,1173,1173,1.3757365313312716e-07,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,31.59821280820784,stuart_maxwell
imdb_sklearn,2,0.06478231214984363,0.00012449265524690903,0.010199999999999992,positive|negative|neutral,E,llama-3b_newlayout,0,10000,10000,5.939572090178079e-19,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,83.93495934959557,stuart_maxwell
imdb_sklearn,2,0.07242597868209726,0.00015152652316449632,0.011899999999999971,positive|negative|neutral,E,llama-3b_newlayout,0,10000,10000,1.6557155274518677e-23,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,104.9104477611921,stuart_maxwell
imdb_sklearn,2,0.05040026702199049,8.814606396558735e-05,0.007299999999999978,positive|negative|neutral,I,llama-3b_newlayout,0,10000,10000,9.291982736789882e-12,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,50.80373831775884,stuart_maxwell
imdb_sklearn,2,0.03753259453027361,6.778452304444767e-05,0.00500000000000001,positive|negative|neutral,I,llama-3b_newlayout,0,10000,10000,7.622764728981915e-07,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,28.173913043478493,stuart_maxwell
sst2,2,0.18253917391921745,0.007476611001533755,0.0615,positive|negative|neutral,E,llama-3b_newlayout,0,10000,10000,1.9529446940474452e-145,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,666.4110003022063,stuart_maxwell
sst2,2,0.18734092067068314,0.007557871838056222,0.06579999999999997,positive|negative|neutral,E,llama-3b_newlayout,0,10000,10000,3.778449161449957e-153,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,701.9324111547838,stuart_maxwell
sst2,2,0.14750762436461362,0.0023290612717771723,0.0435,positive|negative|neutral,I,llama-3b_newlayout,0,10000,10000,3.1918202888427356e-95,energy,run-001,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,435.16998491383913,stuart_maxwell
sst2,2,0.1406917777809143,0.0022322561826252432,0.039200000000000054,positive|negative|neutral,I,llama-3b_newlayout,0,10000,10000,1.083888075113404e-86,energy,run-002,llama-3b_newlayout/energy/summaries/sentiment_significance.csv,395.8835267030834,stuart_maxwell
imdb,2,0.05594137077784458,0.0001964729249767643,0.008299999999999974,positive|negative|neutral,J,llama-3b_newlayout,0,10000,10000,2.5646490762215576e-14,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,62.58873929008566,stuart_maxwell
imdb,2,0.044787413508251675,0.0001326249173825636,0.005999999999999993,positive|negative|neutral,J,llama-3b_newlayout,0,10000,10000,1.942822377038371e-09,execution,run-002,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,40.118248175182494,stuart_maxwell
imdb,2,0.06972660475047884,0.0007485857396535515,0.011199999999999991,positive|negative|neutral,P,llama-3b_newlayout,0,10000,10000,7.681984756240821e-22,execution,run-001,llama-3b_newlayout/execution/summaries/sentiment_significance.csv,97.23598820058996,stuart_maxwell
