pair,dataset,run,model,labels,n_total,count_positive,ratio_positive,count_negative,ratio_negative,count_neutral,ratio_neutral,accuracy_strict,precision_macro_strict,recall_macro_strict,f1_macro_strict,precision_weighted_strict,recall_weighted_strict,f1_weighted_strict,support_strict,accuracy_neutral,precision_macro_neutral,recall_macro_neutral,f1_macro_neutral,precision_weighted_neutral,recall_weighted_neutral,f1_weighted_neutral,support_neutral,count_normal,ratio_normal,count_depression,ratio_depression,count_bearish,ratio_bearish,count_bullish,ratio_bullish
ST-NF,mental,run-001,NF,normal|depression|neutral,31747.0,,,,,1709.0,0.05383185812832709,0.5345386965697546,0.7107262371657004,0.5443893695228965,0.496041577367046,0.716504510976908,0.5345386965697546,0.4915073954600691,31747,0.5345386965697546,0.7107262371657004,0.5443893695228965,0.496041577367046,0.716504510976908,0.5345386965697546,0.4915073954600691,31747,3812.0,0.12007433773269915,26226.0,0.8260938041389737,,,,
ST-NF,mental,run-001,ST,normal|depression|neutral,31747.0,,,,,1020.0,0.03212902006488802,0.7790027404164173,0.8131405629523683,0.7812560670892985,0.7911115275446532,0.8148882182080731,0.7790027404164173,0.7907767503644527,31747,0.7790027404164173,0.8131405629523683,0.7812560670892985,0.7911115275446532,0.8148882182080731,0.7790027404164173,0.7907767503644527,31747,13211.0,0.41613380791885846,17516.0,0.5517371720162535,,,,
ST-NF,mental,run-002,BASE,normal|depression|neutral,31747.0,,,,,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
ST-NF,mental,run-002,NF,normal|depression|neutral,31747.0,,,,,1613.0,0.0508079503575141,0.5419409708003906,0.7129167803091516,0.5517151343171643,0.5049055955094297,0.7186288594446293,0.5419409708003906,0.5004912832054673,31747,0.5419409708003906,0.7129167803091516,0.5517151343171643,0.5049055955094297,0.7186288594446293,0.5419409708003906,0.5004912832054673,31747,3991.0,0.12571266576369422,26143.0,0.8234793838787917,,,,
ST-NF,mental,run-002,ST,normal|depression|neutral,31747.0,,,,,886.0,0.027908148801461554,0.7919488455602104,0.820095746486853,0.793830257874344,0.8027971789827071,0.8215478824607739,0.7919488455602104,0.8025271816674514,31747,0.7919488455602104,0.820095746486853,0.793830257874344,0.8027971789827071,0.8215478824607739,0.7919488455602104,0.8025271816674514,31747,13730.0,0.4324818093048162,17131.0,0.5396100418937222,,,,
ST-NF,mental,avg,BASE,normal|depression|neutral,31747.0,,,,,262.0,0.00825274829117712,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,0.5971272876177277,0.7370436852209301,0.6076081043593938,0.5481880514291009,0.7426188550063219,0.5971272876177277,0.5437367980253128,31747,4472.0,0.14086370365703846,27013.0,0.8508835480517845,,,,
ST-NF,mental,avg,NF,normal|depression|neutral,31747.0,,,,,1661.0,0.052319904242920594,0.5382398336850727,0.711821508737426,0.5480522519200304,0.5004735864382379,0.7175666852107687,0.5382398336850727,0.4959993393327682,31747,0.5382398336850727,0.711821508737426,0.5480522519200304,0.5004735864382379,0.7175666852107687,0.5382398336850727,0.4959993393327682,31747,3901.5,0.12289350174819667,26184.5,0.8247865940088828,,,,
ST-NF,mental,avg,ST,normal|depression|neutral,31747.0,,,,,953.0,0.03001858443317479,0.7854757929883138,0.8166181547196106,0.7875431624818212,0.7969543532636801,0.8182180503344235,0.7854757929883138,0.7966519660159521,31747,0.7854757929883138,0.8166181547196106,0.7875431624818212,0.7969543532636801,0.8182180503344235,0.7854757929883138,0.7966519660159521,31747,13470.5,0.4243078086118373,17323.5,0.5456736069549879,,,,
ST-NF,news,run-001,BASE,neutral|bearish|bullish,11931.0,,,,,3865.0,0.3239460229653843,0.600033526108457,0.6142924679879471,0.7294047658553365,0.6044963210398845,0.7494132661774064,0.600033526108457,0.601903135825658,11931,0.6002011566507418,0.6143088550311541,0.7294908540096064,0.6045765808896332,0.7494451749686046,0.6002011566507418,0.6020594175144822,11931,,,,,2840.0,0.2380353700444221,5226.0,0.4380186069901936
ST-NF,news,run-001,NF,neutral|bearish|bullish,11931.0,,,,,1601.0,0.13418824909898583,0.4025647472969575,0.5997810493982312,0.586840469715116,0.4507629647183616,0.7153107461336374,0.4025647472969575,0.3716764424179002,11931,0.4031514541949543,0.5999776277078458,0.587141778255061,0.45118859460004995,0.7156935227063443,0.4031514541949543,0.3725052273823947,11931,,,,,1636.0,0.1371217835889699,8694.0,0.7286899673120443
